sitting: 一次(坐着做某事)，一又气
garrulous: 话多的，喋喋不休的
quandary: 窘境，无所适从
undercut: 削弱;破坏
recapitulate: 扼要重述;总结，概括
studied: 刻意的，精心营造的，煞费苦心的
rambling: (言辞、文字)冗长而混乱的，不切题的
connotation: 单词的隐含义
integrity: 正直;廉正;诚实
retrench: 减少，削减
ubiquity: 普遍存在，无处不在
truculent: 好斗的
stopgap: 权宜之计;临时的解决办法
reconcile: 调和，使达成一致
polymath: 博学者，知识面广的人
abstract: 抽离，剥离，提取
eloquent: 雄辩的，言辞流利的;有说服力的
souvenir: 纪念品，纪念物
recant: 放弃(信仰、誓言、主张等)，不再坚持
premeditate: 预先考虑;预先策划，预谋
memento: 纪念物，纪念品，引起回忆的东西
overshadow: 使黯然失色，使显得不重要或不突出
insurmountable: 不可逾越的;难以克服的
fungible: 可互换的;可互相代替的
counterfeit: 伪造的;仿造的
choreograph: 设计，计划，安排
aggregate: 总和的，整体的，总计的
demarcate: 标出...的界线;给...划界
sobering: 令人冷静的，令人严肃的，引人深思的
perfunctory: 敷衍的，马虎的;随随便便的
unflinching: 直言不讳的，直截了当的
condescending: 有优越感的，居高临下的，自认为高人一等的
inveterate: 根深蒂固的;积习难改的
span: 持续;包括; 持续时间，时间段
impel: 激励;驱使;迫使
on that (or this) score: 关于......，就......而言
hitch: 暂时的困难，问题，障碍
archetypal: 典型的
croon: 低吟;哼唱;轻哼
subtle: 敏锐的，细致入微的; 巧妙的，机智的
derision: 嘲笑;嘲弄
plodding: 节奏缓慢的，无趣的
vehement: 猛烈的，情绪激烈的
presage: 预示
abnegation: 放弃
stance: 姿态，态度
contend: 声称，主张，认为
contention: 争辩;争论;争吵; 观点，论点
contentious: 有争议的
utterance: 言辞，言语;言论
negligible: 可略而不计的，微不足道的
amorphous: 模棱两可的，难以归类的
venal: 贪赃的;贪污的;唯利是图的
perpetuate: 使永久，使永恒;保持
gross: 极为恶劣的;极为严重的;极为过分的
controvert: 反驳;驳斥;质疑
imprudent: 不谨慎的;轻率的;鲁莽的
extol: 颂扬，热烈赞美
quell: 镇压;平息;压制
fervor: 热情;热烈
insofar as: 在...的范围内;到...的程度
prevalent: 流行的，盛行的;普遍的
altruistic: 利他的;无私的
be a far (long) cry from: 和...相去甚远
adjunct: 附属物;附件
abash: 使羞愧，使害臊，使窘迫
warble: 高声婉转地唱，用颤音唱
pernicious: 有害的，暗中为害的
