overextend: 使负担过重，使劳累过度
quiescence: 平静，静止，不活动
unobservant: 不善于观察的，观察力不敏锐的
honorific: 敬语的，尊称的
absorbing: 吸引人的
amicable: 和睦的，友好的
agreeable: 令人愉悦的
rankle: 激怒，使恼火
codify: 将(法律等)编集成典;编纂
realism: (态度或做法)务实，现实; (描述等)真实，写实; (文学或艺术)现实主义，现实主义风格
universality: 普遍，普适
monger: 煽动......的人，鼓吹......的人
platitudinous: 陈词滥调的
intoxication: 沉迷，狂热
tractable: (人)听话的; (问题等)容易处理的
evidentiary: 证据的，关于证据的
dovish: 鸽派的，爱好和平的
trepidation: 害怕，不安，惊慌
intrepid: 勇敢的;无畏的
immediacy: 直接，临近，身临其境
regularity: 规律性
fraudulent: 欺诈的，欺骗的
pervasive: 普遍的，遍布的
measured: 克制的，深思熟虑的
ong-winded: (文章等)冗长乏味的，没完没了的
blameless: 没有过错的，无可指责的
celebrated: 著名的，闻名的
quash: 制止，平息
pessimism: 悲观
politic: 明智的
unease: 不安
mystify: 使显得神秘，使费解
oversell: 吹嘘，吹捧
opulence: 豪华，奢侈，富有
cagey: 守又如瓶的;讳莫如深的
rote: 死记硬背的，通过反复重复来学习的
reinvent oneself: 改头换面，彻底改变
wastrel: 败家子，浪荡子
curative: 治疗的，有治疗效果的
analgesic: 镇痛的，止痛的
apprehension: 担忧，忧虑，焦虑
misapprehend: 误解，误会
outmoded: 过时的
exposition: (对理论等的)详细阐述，详细解释
diligence: 勤勉，一丝不苟
pathos: (艺术作品等的)感染力，让人伤感的力量
tendentious: 偏袒的，带有倾向性的
willingness: 乐意，愿意
nonchalant: 冷静的，冷淡的，若无其事的
untested: 未经检验的
