check: 使停止;制止，抑制
contrive: 设计，做到，实现
contrivance: 发明;设计
suffocate: 扼制，压制;阻止...的发展
endemic: (动、植物或风俗习惯等)某地特有的，土生土长的
pseudonym: 假名;笔名
elitist: 精英主义的;杰出人物统治论的; (因地位、财富或能力高于别人而)高高在上的，看不起人的
banal: 陈腐的;毫无新意的
raging: 狂怒的;狂暴的
pedestrian: 平淡无奇的，乏味的
wane: 衰减;衰落;败落
spearhead: 领先突击，带头
approbation: 赞扬，赞许
eclipse: 使不显著，使黯然失色
avaricious: 贪婪的，贪得无厌的
reprehend: 斥责;指摘
jejune: 乏味的，无聊的
conviction: 确信，深信;坚定的信仰
torpor: 迟钝，没有活力，死气沉沉
slant: 特定的观点或态度，带有偏向性的态度
purview: (知识、权力等的)范围
parsimonious: 吝啬的
modulate: 调节，修改，控制
high-handed: 专横的;傲慢的;盛气凌人的
instigate: 开始，使发生
ostentation: (对财富、学识等的)炫耀，夸示，卖弄
given to: 倾向于......的，易于......的
edifying: 有教育意义的
halfhearted: 不热心的，敷衍了事的
for all: 尽管，虽然
duplicity: 又是心非，奸诈，欺骗
ephemeral: 极短的，短暂的，朝生暮死的
confer: 赋予，带来
indifferent: 冷漠的，无动于衷的，毫无兴趣的
tout: 宣扬，鼓吹
murky: 阴暗的，昏暗的
circumstellar: 环绕恒星运转的;围绕恒星的
publicize: 宣传
notwithstanding: 尽管
discursion: 离题，跑题
perennial: 长期的，不断的;常在的
inborn: 天生的，生来的
pragmatic: 讲究实际的，务实的，重实效的
oracular: 玄妙深奥的，难以理解的
congestion: 拥堵，拥挤
extroverted: 性格外向的;好社交的
gripping: 令人全神贯注的，极为吸引人的
scathing: 严厉的，尖锐的，刻薄的
commute: 通勤，上下班
strand: (线、绳等的)股，缕
vexation: 生气，恼火，不安
spate: 大量，一大批
forage: 搜寻(食物、给养等)
flighty: 反复无常的，不负责任的，靠不住的
be enamored of/with/by: 爱慕，喜爱，爱恋
air: 态度，气质，气氛
trenchant: 锐利的，犀利的，一针见血的
usage: 对待(某人)的方式
clumsy: 笨拙的
meddle: 管(闲事);干涉(他人事务)
forgo: 放弃(好的东西)
obsequious: 巴结的，卑躬屈膝的，奉承拍马的
acclaim: 向...欢呼;为...喝彩;称赞
construe: 理解，把......理解成......
abstruse: 深奥的，难解的
wayward: 难以捉摸的，反复无常的，任性的
white-hot: 白热化的;极其激烈的
proclivity: 倾向，癖好
mercurial: 善变的，反复无常的
