germane: 切题的，紧密相关的
equate: 等同，视......为相同
dogmatic: (表达观点时)专横的，不容他人质疑的
multifarious: 多样的，各种各样的
multifaceted: 多方面的
reciprocity: 互给;互惠
offish: 冷漠的，疏远的，不平易近人的
exculpation: 开脱;免除罪责
trumpet: 大肆宣扬，大声宣告
sanity: 清醒;理智
counterweight: 用于平衡......影响的事物
synthesis: 综合，结合，综合体
constrict: 抑制;约束
beset: 困扰，使苦恼
slump: (数量、价格等的)骤降，猛跌; (数量、价格等)骤降，猛跌
grandstand: 卖弄，哗众取宠
inexplicable: 无法解释的;莫名其妙的
consequential: 重大的，重要的
impregnable: 牢不可破的，无懈可击的
enchanting: 令人陶醉的;迷人的
argumentative: 好争论的;好争吵的
heedless: 不注意的，掉以轻心的
noisome: 恶臭的
disorient: 使迷惘，使不知所措，使无所适从
slapdash: 马虎的，仓促的，粗制滥造的
fastidious: 挑剔的，一丝不苟的
chronic: (疾病)慢性的，长期的
interplay: 相互影响;相互作用
overbearing: 专横的;傲慢的;盛气凌人的
decry: 公开谴责，强烈批评
quibble: 吹毛求疵;找岔子;(为小事)争吵
rectitude: 操行端正，正直
hedge: (对言论等)加以限制条件
limp: 艰难前行，进展缓慢
paltry: 极少的，微不足道的
forebear: 祖宗，祖先
spurn: 蔑视，鄙视，对......不屑一顾
bumbling: 常出差错的，笨手笨脚的
conversant: 熟悉的;精通的
anew: 再，再一次;重新
ramification: 影响;后果
innocuous: 无伤大雅的;不得罪(或冒犯)人的; 无害的
augur (well/badly/ill): 是好(或不好)的预兆
spore: 孢子
prolific: 多产的，(艺术家等)作品多的
tranquil: 平静的;安静的;安宁的
improbable: 不大可能的
folly: 愚蠢
lurid: (描述)可怕的，耸人听闻的
bland: 温和的，平淡无奇的
sordid: 卑鄙的，下作的
avow: 公开承认;公开声称
asset: 优点，长处，有利条件
hectic: 繁忙的，忙乱的
border on: 近乎于......，几乎是......
antiquarian: 古文物的;收藏古文物的
purport: 声称;自称;假称
accretion: 增加，积累
sensuality: 感官享受，肉体享受
tortuous: 转弯抹角的;复杂的，曲折的
impenetrable: 无法理解的
penetrating: 深刻的，富有洞察力的
elicit: 引起，使发出(回应、回答等
sleazy: 卑鄙的，肮脏的，不道德的
outlandish: 稀奇古怪的，奇特的
received: 普遍认可的，权威的，公认的
corollary: 必然结果，直接结果
paraphernalia: 随身物品，(活动所需的)装备
