painstaking: 极为仔细的，一丝不苟的
decrepitude: 衰老，破旧
elation: 极为高兴;兴高采烈
obfuscate: 使混乱，使难懂，使不清楚
prohibition: 禁止
oblivious: 不知道的，不在意的
animus: 恶意，敌意
intermediary: 调解人;中间人
adduce: 引证;举出(理由、证据等)
spiteful: 恶意的;怀有恶意的，怀恨在心的
hold (or keep) someone/something at bay: 抵抗;防止......产生影响
provincialism: 地方主义，地方观念;狭隘
conspire: 共同导致(不良结果)
upshot: 结果，结局
ingenious: (人)聪明的，有创造力的，足智多谋的; (发明或思想)巧妙的，新奇的
strive: 努力，奋斗
incendiary: 煽动性的
induce: 引起;导致;诱使
corroborate: 证实，证明
succinct: 简明的，简洁的，简练的
aver: 断言;坚称
auspicious: 顺利的，有利的
drastic: 激烈的，迅猛的，猛烈的
dishearten: 使沮丧，使灰心
sycophancy: 谄媚，拍马屁
lament: 为...悲痛，哀悼;痛惜
flit: 掠过;轻快地移动
shrill: 尖声说出;尖叫
attune: 使适应，使符合
keen: 热切的，热情的
acquired: 后天习得的
runoff: (雨水等)流走，流失;地表径流
fad: 一时的风尚，一时的狂热
affirm: 断言，坚持声称; 支持，证实
pathological: 病态的，过度的，过分的
loath: 不愿意的;厌恶的
privation: 缺乏，匮乏，失去
cast-iron: 坚定的;不妥协的;强有力的
chivalrous: (尤指男人对女人)彬彬有礼的，殷勤的
bootless: 没有用的，没有效的
engaging: 有吸引力的;迷人的
cunning: 狡猾的
prefigure: 预示
commiserate: 同情，怜悯
palliative: 缓解痛苦的，治标不治本的
boast: 自豪;夸耀
untrammeled: 不受束缚的;自由自在的
off-kilter: 古怪的，不同寻常的
malleable: 可变的，可塑的;易受外界影响的
debilitate: 削弱，使虚弱，使衰弱
paucity: 量少;不足;缺乏
skullduggery: 阴谋诡计;欺骗
fleeting: 飞逝的，短暂的;一闪而过的
opaque: 晦涩的，难理解的
overt: 公开的;明显的
virtual: 几乎是......的
affect: 假装，装出
effect: 带来，达成，实现
ineffectual: 毫无效果的，不奏效的
original: 创新的，新颖的; 起初的，最开始的，原来的
astute: 敏锐的，精明的
debut: 首秀，首次亮相
flamboyant: 华丽的，炫目的，活力四射的
respite: 喘息之机;(痛苦等的)暂时缓解
mascot: 吉祥物
